frame,class,conf,xmin,ymin,xmax,ymax
3667,No Helmet,0.5,171,212,382,333
3667,Safety Glass,0.25,193,287,350,353
3668,No Helmet,0.48,170,212,381,326
3668,Safety Glass,0.28,204,289,345,351
3669,No Helmet,0.55,171,212,381,327
3669,Safety Glass,0.3,199,288,347,353
3670,No Helmet,0.57,169,212,379,323
3671,No Helmet,0.57,168,211,382,326
3671,Safety Glass,0.25,189,289,349,351
3672,No Helmet,0.57,167,212,380,326
3672,Safety Glass,0.28,193,288,348,350
3673,No Helmet,0.52,167,211,379,322
3673,Safety Glass,0.35,185,288,350,351
3674,No Helmet,0.53,167,210,380,324
3674,Safety Glass,0.41,185,287,350,352
3675,No Helmet,0.49,165,211,377,319
3675,Safety Glass,0.35,194,288,347,350
3676,No Helmet,0.51,164,209,377,322
3676,Safety Glass,0.37,192,286,348,351
3677,No Helmet,0.53,161,208,378,326
3677,Safety Glass,0.39,191,287,348,350
3678,No Helmet,0.5,163,208,380,330
3678,Safety Glass,0.42,189,287,348,351
3679,No Helmet,0.5,163,208,380,330
3679,Safety Glass,0.42,189,287,348,351
3680,No Helmet,0.5,161,206,383,332
3680,Safety Glass,0.36,187,286,351,350
3681,No Helmet,0.53,160,206,385,325
3682,No Helmet,0.53,160,206,385,325
3683,No Helmet,0.51,160,206,384,317
3683,Safety Glass,0.32,196,287,350,348
3684,No Helmet,0.51,160,206,384,317
3684,Safety Glass,0.32,196,287,350,348
3685,No Helmet,0.52,160,206,383,317
3686,No Helmet,0.48,161,205,382,323
3687,No Helmet,0.48,161,205,382,323
3688,No Helmet,0.47,163,208,382,324
3688,Safety Glass,0.36,198,288,347,351
3689,No Helmet,0.49,161,206,383,345
3689,Safety Glass,0.29,186,284,349,352
3690,No Helmet,0.49,161,206,383,345
3690,Safety Glass,0.29,186,284,349,352
3691,No Helmet,0.46,157,206,381,338
3691,Safety Glass,0.25,185,277,347,347
3692,No Helmet,0.46,157,206,381,338
3692,Safety Glass,0.25,185,277,347,347
3693,No Helmet,0.46,159,205,375,345
3694,No Helmet,0.48,155,205,372,328
3694,Safety Glass,0.26,172,285,341,354
3695,No Helmet,0.53,156,206,370,332
3696,No Helmet,0.53,156,206,370,332
3697,No Helmet,0.52,149,207,369,328
3698,No Helmet,0.52,149,207,369,328
3699,No Helmet,0.52,153,206,370,320
3699,Safety Glass,0.32,179,286,339,354
3700,No Helmet,0.5,151,206,370,321
3701,No Helmet,0.5,151,206,370,321
3702,No Helmet,0.47,152,207,368,341
3703,No Helmet,0.59,150,209,366,329
3703,Safety Glass,0.32,178,287,334,353
3704,No Helmet,0.54,151,210,365,325
3705,No Helmet,0.54,151,210,365,325
3706,No Helmet,0.6,149,210,364,316
3706,Safety Glass,0.31,189,291,328,352
3707,No Helmet,0.6,149,210,364,316
3707,Safety Glass,0.31,189,291,328,352
3708,No Helmet,0.52,148,207,366,328
3708,Safety Glass,0.28,180,287,334,352
3709,No Helmet,0.48,146,207,366,319
3709,Safety Glass,0.27,176,287,335,353
3710,No Helmet,0.48,143,209,363,325
3710,Safety Glass,0.26,181,289,333,352
3711,No Helmet,0.48,143,209,363,325
3711,Safety Glass,0.26,181,289,333,352
3712,No Helmet,0.54,144,208,365,330
3712,Safety Glass,0.28,180,292,336,359
3713,No Helmet,0.54,144,208,365,330
3713,Safety Glass,0.28,180,292,336,359
3714,No Helmet,0.49,145,208,357,316
3714,Safety Glass,0.39,183,287,332,353
3715,No Helmet,0.49,144,206,359,321
3715,Safety Glass,0.35,182,287,332,354
3716,No Helmet,0.49,144,206,359,321
3716,Safety Glass,0.35,182,287,332,354
3717,No Helmet,0.46,143,203,361,359
3718,No Helmet,0.53,143,203,358,349
3718,Safety Glass,0.27,179,283,315,345
3719,No Helmet,0.53,143,203,358,349
3719,Safety Glass,0.27,179,283,315,345
3720,No Helmet,0.49,141,203,359,348
3720,Safety Glass,0.29,173,288,319,355
3721,No Helmet,0.49,141,203,359,348
3721,Safety Glass,0.29,173,288,319,355
3722,No Helmet,0.48,141,205,360,337
3723,No Helmet,0.46,141,204,367,390
3724,No Helmet,0.47,139,211,371,354
3725,No Helmet,0.47,139,211,371,354
3726,No Helmet,0.47,150,219,368,353
3727,No Helmet,0.47,150,219,368,353
3728,No Helmet,0.57,151,224,370,341
3729,No Helmet,0.57,151,224,370,341
3730,No Helmet,0.34,143,215,387,411
3731,No Helmet,0.28,140,215,396,389
3737,No Helmet,0.26,144,215,397,410
3738,No Helmet,0.26,144,215,397,410
3741,No Helmet,0.35,137,217,408,415
3742,No Helmet,0.35,137,217,408,415
3743,No Helmet,0.45,149,222,369,341
3744,No Helmet,0.41,152,219,366,338
3745,No Helmet,0.48,143,211,372,372
3746,No Helmet,0.48,143,211,372,372
3747,No Helmet,0.47,151,209,363,330
3748,No Helmet,0.47,151,209,363,330
3749,No Helmet,0.53,146,209,364,333
3750,No Helmet,0.53,146,209,364,333
3751,No Helmet,0.51,145,206,367,332
3752,No Helmet,0.51,145,206,367,332
3753,No Helmet,0.58,143,204,368,324
3754,No Helmet,0.58,143,204,368,324
3755,No Helmet,0.5,143,203,368,312
3756,No Helmet,0.51,143,200,368,348
3757,No Helmet,0.51,143,200,368,348
3758,No Helmet,0.56,143,200,370,325
3759,No Helmet,0.56,143,200,370,325
3760,No Helmet,0.48,141,199,373,355
3761,No Helmet,0.48,141,199,373,355
3762,No Helmet,0.48,139,199,371,352
3763,No Helmet,0.44,139,200,363,346
3764,No Helmet,0.44,139,200,363,346
3765,No Helmet,0.47,136,199,370,354
3766,No Helmet,0.47,136,199,370,354
3767,No Helmet,0.44,140,198,361,347
3767,Safety Glass,0.32,155,276,329,348
3768,No Helmet,0.44,140,198,361,347
3768,Safety Glass,0.32,155,276,329,348
3769,No Helmet,0.39,139,198,359,358
3769,Safety Glass,0.35,164,275,323,349
3770,No Helmet,0.48,139,198,360,358
3770,Safety Glass,0.34,156,277,314,348
3771,No Helmet,0.48,139,198,360,358
3771,Safety Glass,0.34,156,277,314,348
3772,No Helmet,0.42,141,197,359,364
3772,Safety Glass,0.27,157,278,316,347
3773,No Helmet,0.42,141,197,359,364
3773,Safety Glass,0.27,157,278,316,347
3774,No Helmet,0.46,140,197,360,361
3775,No Helmet,0.46,140,197,360,361
3776,No Helmet,0.46,136,197,359,349
3777,No Helmet,0.46,136,197,359,349
3778,No Helmet,0.49,136,198,357,348
3778,Safety Glass,0.28,170,278,311,347
3779,No Helmet,0.49,136,198,357,348
3779,Safety Glass,0.28,170,278,311,347
3780,No Helmet,0.49,136,197,358,366
3781,No Helmet,0.48,132,195,361,346
3782,No Helmet,0.48,132,195,361,346
3783,No Helmet,0.52,132,194,360,357
3784,No Helmet,0.52,132,194,360,357
3785,No Helmet,0.48,132,193,359,359
3786,No Helmet,0.48,132,193,359,359
3787,No Helmet,0.5,132,192,362,362
3788,No Helmet,0.5,132,192,362,362
3789,No Helmet,0.48,134,191,359,369
3790,No Helmet,0.48,134,191,359,369
3791,No Helmet,0.44,135,191,360,365
3792,No Helmet,0.49,134,191,358,363
3793,No Helmet,0.49,134,191,358,363
3794,No Helmet,0.47,135,193,357,368
3795,No Helmet,0.47,135,193,357,368
3796,No Helmet,0.5,133,193,358,366
3797,No Helmet,0.5,133,193,358,366
3798,No Helmet,0.4,133,194,360,366
3798,Safety Glass,0.29,157,274,319,347
3799,No Helmet,0.38,132,192,361,369
3800,No Helmet,0.38,132,192,361,369
3801,No Helmet,0.47,134,193,360,353
3802,No Helmet,0.47,134,193,360,353
3803,No Helmet,0.5,136,194,361,364
3803,Safety Glass,0.28,153,274,320,348
3804,No Helmet,0.5,136,194,361,364
3804,Safety Glass,0.28,153,274,320,348
3805,No Helmet,0.39,135,193,365,363
3806,No Helmet,0.39,135,193,365,363
3807,No Helmet,0.34,142,196,357,308
3807,Safety Glass,0.3,164,275,311,347
3808,No Helmet,0.4,135,195,374,371
3809,No Helmet,0.4,135,195,374,371
3810,No Helmet,0.43,136,195,379,352
3811,No Helmet,0.43,136,195,379,352
3812,No Helmet,0.46,148,195,375,363
3813,No Helmet,0.46,148,195,375,363
3814,No Helmet,0.44,148,195,377,356
3815,No Helmet,0.44,148,195,377,356
3816,No Helmet,0.49,153,196,376,350
3817,No Helmet,0.5,153,196,376,359
3818,No Helmet,0.5,153,196,376,359
3819,No Helmet,0.5,155,197,375,343
3820,No Helmet,0.5,155,197,375,343
3821,No Helmet,0.46,154,198,375,340
3822,No Helmet,0.46,154,198,375,340
3823,No Helmet,0.53,157,197,375,346
3824,No Helmet,0.53,157,197,375,346
3825,No Helmet,0.52,156,197,376,345
3825,Safety Glass,0.37,175,275,342,348
3826,No Helmet,0.52,156,197,376,345
3826,Safety Glass,0.37,175,275,342,348
3827,No Helmet,0.55,157,199,378,337
3827,Safety Glass,0.28,170,277,344,349
3828,No Helmet,0.55,157,199,378,337
3828,Safety Glass,0.28,170,277,344,349
3829,No Helmet,0.54,157,200,376,327
3830,No Helmet,0.53,157,199,378,336
3831,No Helmet,0.53,157,199,378,336
3832,No Helmet,0.48,158,200,375,317
3832,Safety Glass,0.27,177,278,342,346
3833,No Helmet,0.48,158,200,375,317
3833,Safety Glass,0.27,177,278,342,346
3834,No Helmet,0.46,154,199,384,334
3835,No Helmet,0.46,154,199,384,334
3836,No Helmet,0.45,159,201,374,312
3837,No Helmet,0.46,158,202,378,326
3838,No Helmet,0.46,158,202,378,326
3839,No Helmet,0.51,156,201,377,319
3840,No Helmet,0.51,156,201,377,319
3841,No Helmet,0.51,156,202,383,317
3842,No Helmet,0.51,156,202,383,317
3843,No Helmet,0.48,160,201,376,325
3843,Safety Glass,0.25,171,278,342,348
3844,No Helmet,0.48,156,201,379,333
3844,Safety Glass,0.27,174,279,343,347
